"CustomerID","CompanyName","ContactName","ContactTitle","Address","City","PostalCode","Country","CountryCode","Region","Phone","Fax"
"ROMEY","Romero y tomillo","Alejandra Camino","Accounting Manager","Gran Vía, 1","Madrid","28001","SPAIN","ES","Madrid","(91) 745 6200","(91) 745 6210"
"SANTG","Santé Gourmet","Jonas Bergulfsen","Owner","Erling Skakkes gate 78","Stavern","4110","NORWAY","NO","Stavern","07-98 92 35","07-98 92 47"
"SEVES","Seven Seas Imports","Hari Kumar","Sales Manager","90 Wadhurst Rd.","London","OX15 4NB","UK","UK","London","(171) 555-1717","(171) 555-5646"
"SIMOB","Simons bistro","Jytte Petersen","Owner","Vinbæltet 34","Kobenhavn","1734","DENMARK","DK","Kobenhavn","31 12 34 56","31 13 35 57"
"SPECD","Spécialités du monde","Dominique Perrier","Marketing Manager","25, rue Lauriston","Paris","75016","FRANCE","FR","Paris","(1) 47.55.60.10","(1) 47.55.60.20"
"SUPRD","Suprêmes délices","Pascale Cartrain","Accounting Manager","Boulevard Tirou, 255","Charleroi","B-6000","BELGIUM","BE","Charleroi","(071) 23 67 22 20","(071) 23 67 22 21"
"TOMSP","Toms Spezialitäten","Karin Josephs","Marketing Manager","Luisenstr. 48","Münster","44087","GERMANY","DE","Münster","0251-031259","0251-035695"
"TORTU","Tortuga Restaurante","Miguel Angel Paolino","Owner","Avda. Azteca 123","México D.f.","05033","MEXICO","MX","México D.f.","(5) 555-2933",""
"TRADH","Tradição Hipermercados","Anabela Domingues","Sales Representative","Av. Inês de Castro, 414","Sao Paulo","05634-030","BRAZIL","BR","SP","(11) 555-2167","(11) 555-2168"
"VAFFE","Vaffeljernet","Palle Ibsen","Sales Manager","Smagsloget 45","Århus","8200","DENMARK","DK","Århus","86 21 32 43","86 22 33 44"
"VICTE","Victuailles en stock","Mary Saveley","Sales Agent","2, rue du Commerce","Lyon","69004","FRANCE","FR","Lyon","78.32.54.86","78.32.54.87"
"VINET","Vins et alcools Chevalier","Paul Henriot","Accounting Manager","59 rue de l'Abbaye","Reims","51100","FRANCE","FR","Reims","26.47.15.10","26.47.15.11"
"WANDK","Die Wandernde Kuh","Rita Müller","Sales Representative","Adenauerallee 900","Stuttgart","70563","GERMANY","DE","Stuttgart","0711-020361","0711-035428"
"WARTH","Wartian Herkku","Pirkko Koskitalo","Accounting Manager","Torikatu 38","Oulu","90110","FINLAND","FI","Oulu","981-443655","981-443655"
"WELLI","Wellington Importadora","Paula Parente","Sales Manager","Rua do Mercado, 12","Resende","08737-363","BRAZIL","BR","SP","(14) 555-8122",""
"WILMK","Wilman Kala","Matti Karttunen","Owner/Marketing Assistant","Keskuskatu 45","Helsinki","21240","FINLAND","FI","Helsinki","90-224 8858","90-224 8858"
"WOLZA","Wolski  Zajazd","Zbyszek Piestrzeniewicz","Owner","ul. Filtrowa 68","Warszawa","01-012","POLAND","PL","Warszawa","(26) 642-7012","(26) 642-7012"
"GREAL","Great Lakes Food Market","Howard Snyder","Marketing Manager","2732 Baker Blvd.","Eugene","97403","USA","US","OR","(503) 555-7555",""
"THECR","The Cracker Box","Liu Wong","Marketing Assistant","55 Grizzly Peak Rd.","Butte","59801","USA","US","MT","(406) 555-5834","(406) 555-8083"
"OLDWO","Old World Delicatessen","Rene Phillips","Sales Representative","2743 Bering St.","Anchorage","99508","USA","US","AK","(907) 555-7584","(907) 555-2880"
"TRAIH","Trail's Head Gourmet Provisioners","Helvetius Nagy","Sales Associate","722 DaVinci Blvd.","Kirkland","98034","USA","US","WA","(206) 555-8257","(206) 555-2174"
"SPLIR","Split Rail Beer & Ale","Art Braunschweiger","Sales Manager","P.O. Box 555","Lander","82520","USA","US","WY","(307) 555-4680","(307) 555-6525"
"WHITC","White Clover Markets","Karl Jablonski","Owner","305 - 14th Ave. S. Suite 3B","Seattle","98126","USA","US","WA","(206) 555-4112","(206) 555-4115"
"RATTC","Rattlesnake Canyon Grocery","Paula Wilson","Assistant Sales Representative","2817 Milton Dr.","Albuquerque","87110","USA","US","NM","(505) 555-5939","(505) 555-3620"
"SAVEA","Save-a-lot Markets","Jose Pavarotti","Sales Representative","187 Suffolk Ln.","Boise","83702","USA","US","ID","(208) 555-8097",""
"THEBI","The Big Cheese","Liz Nixon","Marketing Manager","89 Jefferson Way Suite 2","Portland","97201","USA","US","OR","(503) 555-3612",""
"LONEP","Lonesome Pine Restaurant","Fran Wilson","Sales Manager","89 Chiaroscuro Rd.","Portland","97219","USA","US","OR","(503) 555-9573","(503) 555-9646"
"LAZYK","Lazy K Kountry Store","John Steel","Marketing Manager","12 Orchestra Terrace","Walla Walla","99362","USA","US","WA","(509) 555-7969","(509) 555-6221"
